question,bloom_level,source
Should governments monitor internet usage for national security? Evaluate.,Evaluating,original
Evaluate the role of operating systems in ensuring system security.,Evaluating,original
List two segment registers.,Remembering,original
What is a computer bus?,Remembering,original
Create a simple menu-driven program in pseudocode.,Creating,original
Differentiate between analog and digital signal.,Analyzing,original
How can computers be used in designing advertisements?,Applying,original
Develop a database query to retrieve students who scored above 80%.,Creating,original
Write the steps to insert a header and footer in MS Word.,Applying,original
What is a network protocol?,Remembering,original
Enlist two types of sub-programs.,Understanding,original
Write the procedure to add two numbers in MS Excel.,Applying,original
Explain the architecture of a computer system.,Understanding,original
Define Broadband.,Remembering,original
What is the role of registers in computer?,Understanding,original
What are source data-entry devices?,Remembering,original
Compare desktop applications with web-based applications.,Evaluating,original
Compare manual and computerized payroll systems. Which one is better and why?,Evaluating,original
Explain its types with examples.,Understanding,original
Construct a flowchart showing steps in a software development life cycle.,Creating,original
Use greedy algorithm to demonstrate problem-solving.,Applying,generated
How would you use string in real-world Computer Science?,Applying,generated
Examine the advantages and disadvantages of sorting algorithm.,Analyzing,generated
What are the differences between recursion and heap?,Analyzing,generated
Examine the advantages and disadvantages of heap.,Analyzing,generated
